StartDate,EndDate,PubDate,UniqueID,PerformerType,PerformerName,SameAs,Language,EventType,EventNameRus,EventNameEng,EventNameSrb,CoverImage,SpotifyButton,Section,ShortDescriptionRus,ShortDescriptionEng,ShortDescriptionSrb,LongDescriptionRus,LongDescriptionEng,LongDescriptionSrb,Time,PriceDin,PlaceName,PlaceAddress,GoogleMap,EventPage,SourceName,TicketsLink,OrganizerName,OrganizerPageURL,OrganizerEmail,OrganizerPhone,AgeRestriction,EventCapacity,ImageGallery,TagsRus,TagsEng,TagsSrb
8/23/2026,8/23/2026,8/19/2026,749,Organization,Soroka Beloboka,https://www.instagram.com/soroka.beloboka.rs/,ru,EducationEvent,Кулинарный мастер-класс «Средиземноморский ужин» в Kompot,Mediterranean Dinner cooking class at Kompot,Kulinarska radionica «Mediteranska večera» u Kompotu,https://raw.githubusercontent.com/newsgl/arsposters/main/749-MediteranskaVecera.webp,,Master classes,"Готовим средиземноморский ужин из трёх блюд под руководством шефа, а потом садимся за стол. 23 августа с 18:00 до 21:00, участие 5000 динаров, запись обязательна.","Cook a three-course Mediterranean dinner with a chef, then sit down and eat it. 23 August, 18:00 to 21:00, 5,000 RSD, booking required.","Spremamo mediteransku večeru od tri jela uz šefa kuhinje, pa sedamo za sto. 23. avgusta od 18.00 do 21.00, učešće 5.000 dinara, prijava obavezna.","Вечер, который заканчивается ужином, приготовленным своими руками. Шеф-повар **Владислав** ведёт группу через три блюда, а потом все садятся за общий стол.

В меню салат с арбузом, сыром и мятой, филе средиземноморской рыбы с пюре из цветной капусты и томатной сальсой, на десерт крем сабайон с карамелизированными фруктами.

В стоимость входят безалкогольные напитки: вода, соки, чай, кофе. Каждый участник получает фотографии процесса, а рецепты приходят в течение одной-двух недель после мастер-класса.

Мест немного, запись обязательна: WhatsApp, Telegram или Viber на номер +381 61 632 6954, Ирина.

Цена: 5000 динаров.

Язык: русский.","An evening that ends with a dinner you cooked yourself. Chef **Vladislav** walks the group through three courses, and then everyone sits down at one table.

On the menu: a watermelon, cheese and mint salad, Mediterranean fish fillet with cauliflower puree and tomato salsa, and sabayon cream with caramelised fruit for dessert.

Soft drinks are included: water, juice, tea and coffee. Every participant gets photographs from the session, and the recipes arrive by message one to two weeks later.

Places are limited and booking is required: WhatsApp, Telegram or Viber to +381 61 632 6954, Irina.

Price: 5,000 RSD.

Language: Russian.","Veče koje se završava večerom koju ste sami spremili. Šef kuhinje **Vladislav** vodi grupu kroz tri jela, a onda svi sedaju za zajednički sto.

Na meniju su salata sa lubenicom, sirom i nanom, file mediteranske ribe sa pireom od karfiola i salsom od paradajza, a za dezert krem sabajon sa karamelizovanim voćem.

U cenu su uključeni bezalkoholni napici: voda, sokovi, čaj i kafa. Svaki učesnik dobija fotografije sa radionice, a recepti stižu porukom nedelju do dve kasnije.

Mesta je malo, prijava je obavezna: WhatsApp, Telegram ili Viber na +381 61 632 6954, Irina.

Cena: 5.000 dinara.

Jezik: ruski.",18:00,5000,Kompot,"Braće Krsmanovića 5, Beograd","44.814233,20.450678",https://t.me/arsraws/356,@arsraws,,Сорока-белобока,https://www.instagram.com/soroka.beloboka.rs/,,+381616326954,,,,"мастер-класс, кулинария, средиземноморская кухня, ужин, Савамала","workshop, cooking, Mediterranean cuisine, dinner, Savamala","radionica, kuvanje, mediteranska kuhinja, večera, Savamala"
8/23/2026,8/23/2026,8/19/2026,750,Organization,Tight Five Comedy,https://t.me/TIGHT_FIVE_COMEDY,ru,ComedyEvent,Открытый микрофон Tight Five Comedy в Avangarda Bar,Tight Five Comedy open mic at Avangarda Bar,Otvoreni mikrofon Tight Five Comedy u Avangarda baru,https://raw.githubusercontent.com/newsgl/arsposters/main/750-OpenMicTightFive.webp,,Stand Up,"Комики обкатывают новый материал на публике, ведёт вечер Кирилл Семилетов. 23 августа, сбор в 19:00, начало в 19:30, вход по донату.","Comedians try out fresh material on a live room, hosted by Kirill Semiletov. 23 August, doors 19:00, start 19:30, entry by donation.","Komičari isprobavaju nov materijal pred publikom, veče vodi Kiril Semiletov. 23. avgusta, okupljanje u 19.00, početak u 19.30, ulaz po donaciji.","Открытый микрофон это место, где шутка проверяется залом. Комики выносят свежий материал, часть которого слышат впервые даже они сами, и по реакции понимают, что останется в программе.

Ведёт вечер **Кирилл Семилетов**. Формат неформальный: прохладный зал Avangarda Bar, столики, напитки.

Столик стоит забронировать заранее, мест немного.

Цена: вход по донату.

Язык: русский.","An open mic is where a joke gets its first real test. Comedians bring material that is often brand new, and the room decides what stays in the set.

The evening is hosted by **Kirill Semiletov**. The format is relaxed: the cool room at Avangarda Bar, tables and drinks.

Worth booking a table in advance, the room is small.

Price: entry by donation.

Language: Russian.","Otvoreni mikrofon je mesto gde se šala prvi put proverava pred publikom. Komičari iznose nov materijal, a sala odlučuje šta ostaje u programu.

Veče vodi **Kiril Semiletov**. Format je opušten: rashlađena sala Avangarda bara, stolovi i piće.

Vredi rezervisati sto unapred, mesta nema mnogo.

Cena: ulaz po donaciji.

Jezik: ruski.",19:30,0,Avangarda Bar,"Vojvode Dobrnjca 34, Beograd","44.817859,20.474742",https://t.me/TIGHT_FIVE_COMEDY/723,Tight Five Comedy,,Tight Five Comedy,https://t.me/TIGHT_FIVE_COMEDY,,,,,,"стендап, открытый микрофон, комедия, Avangarda Bar, Врачар","stand up, open mic, comedy, Avangarda Bar, Vračar","stend ap, otvoreni mikrofon, komedija, Avangarda bar, Vračar"
9/6/2026,9/6/2026,8/19/2026,751,Organization,Dorćol Platz,https://www.dorcolplatz.rs/,,Festival,Toys N Comics Berza на Dorćol Platz: ярмарка игрушек и комиксов,Toys N Comics Berza at Dorćol Platz: toy and comic fair,Toys N Comics Berza na Dorćol Platzu: berza igračaka i stripova,https://raw.githubusercontent.com/newsgl/arsposters/main/751-ToysNComicsBerza.webp,,Festivals,"Винтажные игрушки, машинки всех масштабов и комиксы сербских и зарубежных изданий. 6 сентября с 10:00 до 18:00 на Dorćol Platz, вход свободный.","Vintage toys, model cars of every scale and comics from Serbian and foreign publishers. 6 September, 10:00 to 18:00 at Dorćol Platz, free entry.","Vintidž igračke, autići svih razmera i stripovi domaćih i stranih izdavača. 6. septembra od 10.00 do 18.00 na Dorćol Platzu, ulaz slobodan.","Очередная **биржа игрушек и комиксов** на Dorćol Platz собирает коллекционеров и просто любопытных. На столах винтажные и коллекционные игрушки, машинки разных масштабов, подборка комиксов сербских и зарубежных изданий.

Здесь не только покупают. С продавцами можно договориться об обмене или выкупе, ради чего на такие ярмарки и приходят коллекционеры.

Остальным ярмарка интересна как повод пройтись между столами и наткнуться на то, с чем сам когда-то играл.

Цена: вход свободный.","Another **toy and comic exchange** at Dorćol Platz brings together collectors and passers-by. The tables hold vintage and collectible toys, model cars of various scales, and a selection of comics from Serbian and foreign publishers.

Buying is only part of it. Sellers also trade and buy back, which is what draws collectors to fairs like this one.

For everyone else it is a good reason to walk the tables and run into the toy you grew up with.

Price: free entry.","Još jedna **berza igračaka i stripova** na Dorćol Platzu okuplja kolekcionare i slučajne prolaznike. Na tezgama su vintidž i kolekcionarske igračke, autići različitih razmera i izbor stripova domaćih i stranih izdavača.

Ne radi se samo o kupovini. Sa prodavcima može da se dogovori i razmena ili otkup, zbog čega kolekcionari i dolaze na ovakve berze.

Ostalima je to prilika da prošetaju između tezgi i naiđu na igračku iz sopstvenog detinjstva.

Cena: ulaz slobodan.",10:00,0,Dorćol Platz,"Dobračina 59b, 11000 Beograd","44.823336,20.466982",https://t.me/sta_imas_beograd/4687,Šta imaš Beograd,,Dorćol Platz,https://www.dorcolplatz.rs/,,,,,,"ярмарка, игрушки, комиксы, коллекционирование, Dorćol Platz","fair, toys, comics, collecting, Dorćol Platz","berza, igračke, stripovi, kolekcionarstvo, Dorćol Platz"
10/3/2026,10/3/2026,8/19/2026,752,MusicGroup,Mayhem,https://en.wikipedia.org/wiki/Mayhem_(band),,MusicEvent,Mayhem и Marduk в Zappa Barka: тур Death Over Europe Part II,Mayhem and Marduk at Zappa Barka: Death Over Europe Part II,Mayhem i Marduk u Zappa Barci: turneja Death Over Europe Part II,https://raw.githubusercontent.com/newsgl/arsposters/main/752-MayhemMarduk.webp,,Concerts,"Норвежские основоположники блэк-метала Mayhem и шведские Marduk играют на одной сцене в рамках тура Death Over Europe Part II. 3 октября, 20:00, ранние билеты 4300 динаров.","Norwegian black metal pioneers Mayhem and Swedish veterans Marduk share one stage on the Death Over Europe Part II tour. 3 October, 20:00, early bird 4,300 RSD.","Norveški pioniri blek metala Mayhem i švedski Marduk na istoj sceni, u okviru turneje Death Over Europe Part II. 3. oktobra u 20.00, rane karte 4.300 dinara.","Два имени, без которых историю блэк-метала не рассказать, приезжают в Белград одним вечером. **Mayhem** сформировали вторую волну норвежского блэка и остаются одной из самых влиятельных групп жанра. **Marduk** больше тридцати лет держат шведскую линию: скорость, плотность, узнаваемый звук.

Белградская дата входит в тур Death Over Europe Part II. В программе классика, на которой жанр строился, и материал последних лет.

Marduk возвращаются в Белград впервые за семь лет.

Цена: ранние билеты 4300 динаров, предпродажа 4900, на входе 5500, если останутся. Физические билеты продают в Katakombe Bar и Zappa Bar.","Two names you cannot tell the history of black metal without arrive in Belgrade on the same night. **Mayhem** shaped the second wave of Norwegian black metal and remain one of the most influential bands in the genre. **Marduk** have spent more than three decades defining the Swedish side of it: speed, density, an unmistakable sound.

The Belgrade date is part of the Death Over Europe Part II tour. The set covers the classics the genre was built on along with recent material.

Marduk return to Belgrade for the first time in seven years.

Price: early bird 4,300 RSD, presale 4,900, door 5,500 if any remain. Physical tickets are sold at Katakombe Bar and Zappa Bar.","Dva imena bez kojih se istorija blek metala ne može ispričati stižu u Beograd iste večeri. **Mayhem** su oblikovali drugi talas norveškog bleka i ostaju jedno od najuticajnijih imena žanra. **Marduk** više od tri decenije drže švedsku liniju: brzina, gustina i prepoznatljiv zvuk.

Beogradski datum je deo turneje Death Over Europe Part II. U programu su klasici na kojima je žanr građen i noviji materijal.

Marduk se u Beograd vraćaju prvi put posle sedam godina.

Cena: rane karte 4.300 dinara, pretprodaja 4.900, na ulazu 5.500 ako ih bude. Fizičke karte prodaju Katakombe Bar i Zappa Bar.",20:00,4300,Zappa Barka,"Bulevar vojvode Bojovića, kej kod Kule Nebojša, 11000 Beograd","44.828226,20.446185",https://hangtimeagency.com/en/event/mayhem-i-marduk-u-beogradu-black-metal-spektakl-u-zappa-barci/,Hangtime Agency,https://hangtimeagency.com/en/event/mayhem-i-marduk-u-beogradu-black-metal-spektakl-u-zappa-barci/#tickets,Hangtime Agency,https://hangtimeagency.com/,,,,,,"блэк-метал, концерт, Mayhem, Marduk, Zappa Barka","black metal, concert, Mayhem, Marduk, Zappa Barka","blek metal, koncert, Mayhem, Marduk, Zappa Barka"
10/14/2026,10/14/2026,8/19/2026,753,MusicGroup,Swallow the Sun,https://en.wikipedia.org/wiki/Swallow_the_Sun,,MusicEvent,Swallow the Sun в Zappa Baza: финский дэт-дум-метал,Swallow the Sun at Zappa Baza: Finnish death doom,Swallow the Sun u Zappa Bazi: finski det dum metal,https://raw.githubusercontent.com/newsgl/arsposters/main/753-SwallowTheSun.webp,,Concerts,"Финны с двадцатилетним стажем играют мрачный и мелодичный дэт-дум-метал. 14 октября с 19:00 в Zappa Baza, билеты от 30 евро, это примерно 3500 динаров.","Two decades in, the Finnish band brings its dark, melodic death doom to Belgrade. 14 October from 19:00 at Zappa Baza, tickets from 30 euros, about 3,500 RSD.","Finci sa dvadeset godina staža sviraju mračan i melodičan det dum metal. 14. oktobra od 19.00 u Zappa Bazi, karte od 30 evra, oko 3.500 dinara.","Дум, который держится не на тяжести, а на мелодии. **Swallow the Sun** из финского Ювяскюля играют с 2000 года и за это время собрали десяток альбомов, в которых гроул соседствует с чистым вокалом, а темп падает до почти неподвижного.

Группу знают по трилогии Songs from the North и по репутации одной из самых узнаваемых команд финской дум-сцены.

Концерт в Zappa Baza идёт с 19:00 до 22:00.

Цена: от 30 до 50 евро, по курсу это примерно от 3500 до 5850 динаров. Оплата в евро на стороне билетного оператора.","Doom that rests on melody rather than sheer weight. **Swallow the Sun** from Jyväskylä have been playing since 2000 and have built up a run of albums where growls sit next to clean vocals and the tempo slows almost to a standstill.

The band is known for the Songs from the North trilogy and as one of the most recognisable names on the Finnish doom scene.

The show at Zappa Baza runs from 19:00 to 22:00.

Price: 30 to 50 euros, roughly 3,500 to 5,850 RSD. The ticket operator charges in euros.","Dum koji ne počiva na težini nego na melodiji. **Swallow the Sun** iz finskog Jiveskile sviraju od 2000. godine i za to vreme su objavili desetak albuma u kojima growl stoji uz čist vokal, a tempo pada gotovo do mirovanja.

Bend je poznat po trilogiji Songs from the North i kao jedno od najprepoznatljivijih imena finske dum scene.

Koncert u Zappa Bazi traje od 19.00 do 22.00.

Cena: od 30 do 50 evra, po kursu oko 3.500 do 5.850 dinara. Naplata je u evrima, kod prodavca karata.",19:00,3510,Zappa Baza,"Bulevar Vojvode Bojovića 30a, 11000 Beograd","44.820671,20.448039",https://balkan-promo.com/Swallow_the_Sun/,Balkan Promo,https://balkan-promo.com/Swallow_the_Sun/,Balkan Promo,https://balkan-promo.com/,,,,,,"дум-метал, дэт-метал, концерт, Swallow the Sun, Zappa Baza","doom metal, death metal, concert, Swallow the Sun, Zappa Baza","dum metal, det metal, koncert, Swallow the Sun, Zappa Baza"
10/18/2026,10/18/2026,8/19/2026,754,MusicGroup,GSPD,https://gspd-dead-blonde-belgrade.com/,,MusicEvent,GSPD и Dead Blonde в Zappa Barka: совместная программа,GSPD and Dead Blonde at Zappa Barka: a joint set,GSPD i Dead Blonde u Zappa Barci: zajednički program,https://raw.githubusercontent.com/newsgl/arsposters/main/754-GspdDeadBlonde.webp,,Concerts,"Два часа рейва и поп-хитов подряд: GSPD и Dead Blonde впервые выступают в Белграде. 18 октября, начало шоу в 20:00, билеты от 40 евро, примерно 4700 динаров.","Two hours of rave and pop hits back to back: GSPD and Dead Blonde play Belgrade for the first time. 18 October, show starts 20:00, tickets from 40 euros, about 4,700 RSD.","Dva sata rejva i pop hitova zaredom: GSPD i Dead Blonde prvi put u Beogradu. 18. oktobra, početak u 20.00, karte od 40 evra, oko 4.700 dinara.","Единственный концерт двух артистов в Сербии. **GSPD** привозит полноценное рейв-шоу с плотным звуком, **Dead Blonde** отыгрывает главные хиты, которые давно разошлись за пределы своей сцены. Программа общая, два часа без пауз между блоками.

Вечер устроен по расписанию: в 17:30 встреча с артистами для тех, у кого билет Meet and Greet, в 18:45 ранний вход, в 19:00 основной, в 20:00 начало шоу.

Возраст: 12+.

Цена: от 40 до 200 евро, по курсу это примерно от 4700 динаров. Оплата в евро или рублях на стороне билетного оператора.","The only Serbian date for either act. **GSPD** brings a full rave show with a heavy sound, **Dead Blonde** plays the hits that long ago travelled beyond her own scene. It is one shared set, two hours with no break between the blocks.

The evening runs to a schedule: 17:30 meet and greet for holders of that ticket, 18:45 early entry, 19:00 general entry, 20:00 showtime.

Age: 12+.

Price: 40 to 200 euros, from roughly 4,700 RSD. The ticket operator charges in euros or roubles.","Jedini koncert oba izvođača u Srbiji. **GSPD** donosi pravi rejv šou sa gustim zvukom, **Dead Blonde** svira hitove koji su odavno izašli van njene scene. Program je zajednički, dva sata bez pauze između blokova.

Veče ide po rasporedu: u 17.30 susret sa izvođačima za one sa tom kartom, u 18.45 rani ulaz, u 19.00 opšti ulaz, u 20.00 počinje šou.

Uzrast: 12+.

Cena: od 40 do 200 evra, po kursu od oko 4.700 dinara. Naplata je u evrima ili rubljama, kod prodavca karata.",20:00,4680,Zappa Barka,"Bulevar vojvode Bojovića, kej kod Kule Nebojša, 11000 Beograd","44.828226,20.446185",https://gspd-dead-blonde-belgrade.com/,Balkan Promo,https://gspd-dead-blonde-belgrade.com/,Balkan Promo,https://balkan-promo.com/,novazappabarka@gmail.com,+381640108011,12+,,,"рейв, поп, концерт, GSPD, Dead Blonde, Zappa Barka","rave, pop, concert, GSPD, Dead Blonde, Zappa Barka","rejv, pop, koncert, GSPD, Dead Blonde, Zappa Barka"
8/22/2026,8/22/2026,8/19/2026,755,Person,Tanja Ostojić,https://en.wikipedia.org/wiki/Tanja_Ostoji%C4%87,ru,EducationEvent,Экскурсия на русском по выставке Тани Остойич в Галерее-легате Милицы Зорич,Russian-language tour of the Tanja Ostojić show at the Milica Zorić Legacy Gallery,Vođenje na ruskom kroz izložbu Tanje Ostojić u Galeriji legatu Milice Zorić,https://raw.githubusercontent.com/newsgl/arsposters/main/755-TanjaOstojicTour.webp,,Lectures,"Искусствовед проводит по ретроспективе Тани Остойич и объясняет работы с 1992 по 2026 год. 22 августа в 13:00, экскурсия и вход в музей бесплатны, регистрация не нужна.","An art historian walks visitors through the Tanja Ostojić retrospective covering 1992 to 2026. 22 August at 13:00, tour and museum entry are free, no registration needed.","Istoričarka umetnosti vodi kroz retrospektivu Tanje Ostojić od 1992. do 2026. 22. avgusta u 13.00, vođenje i ulaz u muzej su besplatni, prijava nije potrebna.","Выставку «Сколько нужно сил...» проще понять с проводником. Экскурсию ведёт **Вероника Подрядова**, искусствовед и сотрудник Музея современного искусства.

Это большая тематическая ретроспектива **Тани Остойич**, охватывающая период с 1992 по 2026 год: перформансы, инсталляции, видео, скульптура, исследовательские проекты. Художница работает с темами личного пространства, тела, миграции, институциональной власти и коллективной солидарности.

Экскурсия повторная, первая уже прошла.

После неё стоит зайти в соседний Аквариум-тропикариум, на его коллекцию легко уходит полчаса.

Цена: бесплатно, вход в музей тоже.

Язык: русский.","The exhibition is easier to read with a guide. The tour is led by **Veronika Podryadova**, art historian and staff member of the Museum of Contemporary Art.

This is a large thematic retrospective of **Tanja Ostojić** covering 1992 to 2026: performance, installation, video, sculpture and research-based projects. Her work deals with personal space, the body, migration, institutional power and collective solidarity.

The tour repeats an earlier one that has already taken place.

Afterwards the neighbouring Aquarium and Tropicarium is worth half an hour of your time.

Price: free, museum entry included.

Language: Russian.","Izložbu je lakše pročitati uz vodiča. Vođenje drži **Veronika Podrjadova**, istoričarka umetnosti i saradnica Muzeja savremene umetnosti.

Reč je o velikoj tematskoj retrospektivi **Tanje Ostojić** od 1992. do 2026: performansi, instalacije, video, skulptura i istraživački projekti. Umetnica se bavi ličnim prostorom, telom, migracijama, institucionalnom moći i kolektivnom solidarnošću.

Vođenje se ponavlja, prvo je već održano.

Posle toga vredi svratiti u susedni Akvarijum i tropikarijum, na njegovu kolekciju lako ode pola sata.

Cena: besplatno, kao i ulaz u muzej.

Jezik: ruski.",13:00,0,Galerija legat Milice Zorić i Rodoljuba Čolakovića,"Rodoljuba Čolakovića 2, 11000 Beograd","44.780162,20.453623",https://t.me/muzejiubeogradu/1106,Музеи в Белграде,,Muzej savremene umetnosti,https://msub.org.rs/,,,,,,"экскурсия, выставка, современное искусство, Таня Остойич, Дедине","guided tour, exhibition, contemporary art, Tanja Ostojić, Dedinje","vođenje, izložba, savremena umetnost, Tanja Ostojić, Dedinje"
8/22/2026,8/22/2026,8/19/2026,756,Person,Anna Morozova,https://www.instagram.com/auditoria_beograd/,ru,Festival,Открытие выставки «Люди и деревья» Анны Морозовой в «Аудитории»,Opening of People and Trees by Anna Morozova at Auditoria,Otvaranje izložbe «Ljudi i drveća» Ane Morozove u Auditoriji,https://raw.githubusercontent.com/newsgl/arsposters/main/756-LjudiIDrveca.webp,,Festivals,"Фотопроект о контакте человека с природой и собственным телом, а после открытия лекция-обсуждение. 22 августа в 19:00, на выставку вход свободный, на лекцию донат.","A photo project about contact with nature and with your own body, followed by a talk. 22 August at 19:00, free entry to the exhibition, donation for the talk.","Foto projekat o dodiru sa prirodom i sopstvenim telom, a posle otvaranja i razgovor. 22. avgusta u 19.00, ulaz na izložbu slobodan, za predavanje donacija.","Дерево как точка опоры. В снимках **Анны Морозовой** оно перестаёт быть частью пейзажа и становится способом заземлиться: увидеть, услышать, почувствовать себя в настоящем.

Анна родом из Сибири. Её работы рассказывают истории любви человека к человеку, к своему телу и телу другого, и поднимают тему принятия себя и другого такими, какие есть.

После открытия проходит лекция-обсуждение **«Научитесь не шевелиться и не моргать»**: о том, как фотография возвращает в настоящий момент и почему она бывает настолько разной, насколько мы сами позволяем ей быть.

Цена: выставка бесплатно, лекция по донату.

Язык: русский.","A tree as something to hold on to. In the photographs of **Anna Morozova** it stops being part of the landscape and becomes a way of grounding yourself: seeing, hearing, feeling present.

Anna comes from Siberia. Her work tells stories of love between people, of the body as your own and as someone else's, and raises the question of accepting yourself and others as they are.

The opening is followed by a talk, **Learn Not to Move and Not to Blink**, on how photography brings you back to the present moment and why it can be as varied as we let it be.

Price: exhibition free, talk by donation.

Language: Russian.","Drvo kao oslonac. Na fotografijama **Ane Morozove** ono prestaje da bude deo pejzaža i postaje način da se čovek prizemlji: da vidi, čuje i oseti sadašnji trenutak.

Ana je poreklom iz Sibira. Njeni radovi pričaju priče o ljubavi čoveka prema čoveku, prema sopstvenom i tuđem telu, i otvaraju pitanje prihvatanja sebe i drugog onakvim kakvi jesu.

Posle otvaranja sledi razgovor **«Naučite da se ne mrdate i ne trepćete»**: o tome kako fotografija vraća u sadašnji trenutak i zašto ume da bude toliko različita koliko joj sami dozvolimo.

Cena: izložba besplatno, predavanje po donaciji.

Jezik: ruski.",19:00,0,Auditoria,"Vojvode Dobrnjca 48, Beograd","44.818886,20.474869",https://t.me/auditoria_belgrade/1602,Auditoria Belgrade,,Auditoria,https://www.instagram.com/auditoria_beograd/,,,,,,"выставка, фотография, открытие, лекция, Аудитория","exhibition, photography, opening, talk, Auditoria","izložba, fotografija, otvaranje, predavanje, Auditoria"
8/21/2026,8/21/2026,8/19/2026,757,Organization,Narodni muzej Srbije,https://www.narodnimuzej.rs/,,SocialEvent,Квиз о Вуке Караджиче и Доситее Обрадовиче в Музее Вука и Доситея,Quiz on Vuk Karadžić and Dositej Obradović at the Museum of Vuk and Dositej,Kviz o Vuku Karadžiću i Dositeju Obradoviću u Muzeju Vuka i Dositeja,https://raw.githubusercontent.com/newsgl/arsposters/main/757-KvizVukDositej.webp,,Games,"Летняя программа Национального музея: квиз о двух просветителях и их эпохе прямо в их мемориальном музее. 21 августа в 11:00, стоимость в анонсе не названа.","A summer programme of the National Museum: a quiz about two enlighteners and their era, held in their memorial museum. 21 August at 11:00, no price announced.","Letnji program Narodnog muzeja: kviz o dvojici prosvetitelja i njihovom vremenu, u njihovom memorijalnom muzeju. 21. avgusta u 11.00, cena nije objavljena.","Вопросы о людях, которые переписали сербский язык и сербскую школу. **Вук Караджич** реформировал алфавит и собрал народные песни, **Доситей Обрадович** привёз в Сербию идеи Просвещения и стал первым министром просвещения.

Квиз проходит в их мемориальном музее, в здании бывшей Великой школы на Дорчоле, и входит в летнюю программу Национального музея Сербии.

Стоимость участия в анонсе не указана, её стоит уточнить у музея.

Цена: не объявлена.","Questions about the two men who rewrote the Serbian language and the Serbian school. **Vuk Karadžić** reformed the alphabet and collected folk songs, **Dositej Obradović** brought Enlightenment ideas to Serbia and became its first minister of education.

The quiz takes place in their memorial museum, the former Great School building in Dorćol, as part of the National Museum of Serbia summer programme.

The announcement gives no price, so it is worth checking with the museum.

Price: not announced.","Pitanja o dvojici ljudi koji su preoblikovali srpski jezik i srpsku školu. **Vuk Karadžić** je reformisao azbuku i sakupio narodne pesme, **Dositej Obradović** je doneo prosvetiteljske ideje i postao prvi ministar prosvete.

Kviz se održava u njihovom memorijalnom muzeju, u zgradi nekadašnje Velike škole na Dorćolu, u okviru letnjeg programa Narodnog muzeja Srbije.

Cena u najavi nije navedena, vredi je proveriti kod muzeja.

Cena: nije objavljena.",11:00,,Muzej Vuka i Dositeja,"Gospodar Jevremova 21, 11000 Beograd","44.821034,20.458766",https://t.me/arsraws/355,@arsraws,,Narodni muzej Srbije,https://www.narodnimuzej.rs/,,,,,,"квиз, музей, Вук Караджич, Доситей Обрадович, Дорчол","quiz, museum, Vuk Karadžić, Dositej Obradović, Dorćol","kviz, muzej, Vuk Karadžić, Dositej Obradović, Dorćol"
8/22/2026,8/22/2026,8/19/2026,758,Organization,Narodni muzej Srbije,https://www.narodnimuzej.rs/,,EducationEvent,Тематическая экскурсия «От Моне до Мондриана» в Национальном музее,From Monet to Mondrian: a themed tour at the National Museum,Tematsko vođenje «Od Monea do Mondrijana» u Narodnom muzeju,https://raw.githubusercontent.com/newsgl/arsposters/main/758-OdMoneaDoMondrijana.webp,,Lectures,"Час по залам зарубежного искусства Национального музея: от импрессионизма к абстракции. 22 августа в 18:00, стоимость в анонсе не названа.","An hour through the National Museum foreign art galleries, from impressionism to abstraction. 22 August at 18:00, no price announced.","Sat vremena kroz sale stranog slikarstva Narodnog muzeja, od impresionizma do apstrakcije. 22. avgusta u 18.00, cena nije objavljena.","Национальный музей Сербии хранит одну из самых заметных коллекций зарубежной живописи в регионе. В её собрании есть **Клод Моне** и **Пит Мондриан**, а между ними полвека, за которые европейская картина ушла от впечатления к чистой геометрии.

Тематическая экскурсия проводит этот путь по залам постоянной экспозиции и объясняет, что менялось от полотна к полотну.

Встреча входит в летнюю программу музея, идущую с 18 по 23 августа.

Стоимость участия в анонсе не указана, её стоит уточнить у музея.

Цена: не объявлена.","The National Museum of Serbia holds one of the strongest foreign painting collections in the region. It includes **Claude Monet** and **Piet Mondrian**, and between them lie fifty years in which European painting moved from impression to pure geometry.

The themed tour follows that route through the permanent display and explains what changed from canvas to canvas.

The tour is part of the museum summer programme running from 18 to 23 August.

The announcement gives no price, so it is worth checking with the museum.

Price: not announced.","Narodni muzej Srbije čuva jednu od najznačajnijih zbirki stranog slikarstva u regionu. U njoj su i **Klod Mone** i **Pit Mondrijan**, a između njih je pola veka u kom je evropska slika prešla put od utiska do čiste geometrije.

Tematsko vođenje prati taj put kroz stalnu postavku i objašnjava šta se menjalo od platna do platna.

Program je deo letnje ponude muzeja koja traje od 18. do 23. avgusta.

Cena u najavi nije navedena, vredi je proveriti kod muzeja.

Cena: nije objavljena.",18:00,,Narodni muzej Srbije,"Trg republike 1a, 11000 Beograd","44.816790,20.459645",https://t.me/arsraws/355,@arsraws,,Narodni muzej Srbije,https://www.narodnimuzej.rs/,,,,,,"экскурсия, музей, живопись, импрессионизм, Национальный музей","guided tour, museum, painting, impressionism, National Museum","vođenje, muzej, slikarstvo, impresionizam, Narodni muzej"
